stateTime,Eligible Miners,Ineligible Miners
"2024-11-28",1913,42
"2024-11-29",1915,42
"2024-11-30",1911,38
"2024-12-01",1917,39
"2024-12-02",1914,41
"2024-12-03",1911,40
"2024-12-04",1910,40
"2024-12-05",1901,39
"2024-12-06",1902,43
"2024-12-07",1890,37
"2024-12-08",1889,43
"2024-12-09",1879,36
"2024-12-10",1879,40
"2024-12-11",1889,38
"2024-12-12",1888,35
"2024-12-13",1887,37
"2024-12-14",1881,35
"2024-12-15",1883,35
"2024-12-16",1867,37
"2024-12-17",1881,39
"2024-12-18",1882,38
"2024-12-19",1884,38
"2024-12-20",1879,39
"2024-12-21",1874,40
"2024-12-22",1876,38
"2024-12-23",1877,40
"2024-12-24",1882,40
"2024-12-25",1875,40
"2024-12-26",1876,39
"2024-12-27",1863,39
"2024-12-28",1855,36
"2024-12-29",1847,39
"2024-12-30",1844,39
"2024-12-31",1834,39
"2025-01-01",1825,37
"2025-01-02",1816,38
"2025-01-03",1810,38
"2025-01-04",1809,36
"2025-01-05",1805,37
"2025-01-06",1797,35
"2025-01-07",1791,36
"2025-01-08",1796,34
"2025-01-09",1786,37
"2025-01-10",1797,38
"2025-01-11",1789,35
"2025-01-12",1791,39
"2025-01-13",1789,39
"2025-01-14",1792,39
"2025-01-15",1797,40
"2025-01-16",1791,42
"2025-01-17",1781,41
"2025-01-18",1784,38
"2025-01-19",1776,40
"2025-01-20",1768,41
"2025-01-21",1760,44
"2025-01-22",1767,39
"2025-01-23",1764,41
"2025-01-24",1762,40
"2025-01-25",1752,39
"2025-01-26",1754,37
"2025-01-27",1749,35
"2025-01-28",1752,36
"2025-01-29",1750,38
"2025-01-30",1742,37
"2025-01-31",1744,38
"2025-02-01",1738,39
"2025-02-02",1733,34
"2025-02-03",1723,37
"2025-02-04",1729,37
"2025-02-05",1721,36
"2025-02-06",1715,34
"2025-02-07",1720,31
"2025-02-08",1716,28
"2025-02-09",1711,27
"2025-02-10",1712,29
"2025-02-11",1713,23
"2025-02-12",1711,23
"2025-02-13",1704,26
"2025-02-14",1694,26
"2025-02-15",1693,25
"2025-02-16",1679,29
"2025-02-17",1673,30
"2025-02-18",1675,30
"2025-02-19",1673,30
"2025-02-20",1673,28
"2025-02-21",1668,27
"2025-02-22",1674,27
"2025-02-23",1677,26
"2025-02-24",1679,26
"2025-02-25",1674,26
"2025-02-26",1674,23
"2025-02-27",1671,25
"2025-02-28",1668,28
"2025-03-01",1674,23
"2025-03-02",1670,23
"2025-03-03",1670,27
"2025-03-04",1671,26
"2025-03-05",1657,28
"2025-03-06",1665,29
"2025-03-07",1660,28
"2025-03-08",1656,28
"2025-03-09",1657,34
"2025-03-10",1650,33
"2025-03-11",1648,34
"2025-03-12",1642,34
"2025-03-13",1644,34
"2025-03-14",1649,32
"2025-03-15",1644,33
"2025-03-16",1643,33
"2025-03-17",1638,36
"2025-03-18",1638,34
"2025-03-19",1633,36
"2025-03-20",1632,40
"2025-03-21",1631,39
"2025-03-22",1628,38
"2025-03-23",1619,40
"2025-03-24",1626,33
"2025-03-25",1629,31
"2025-03-26",1630,33
"2025-03-27",1635,30
"2025-03-28",1634,28
"2025-03-29",1633,26
"2025-03-30",1627,28
"2025-03-31",1627,24
"2025-04-01",1611,32
"2025-04-02",1627,27
"2025-04-03",1634,27
"2025-04-04",1631,25
"2025-04-05",1635,27
"2025-04-06",1633,27
"2025-04-07",1636,29
"2025-04-08",1634,26
"2025-04-09",1623,25
"2025-04-10",1609,28
"2025-04-11",1607,30
"2025-04-12",1598,30
"2025-04-13",1600,32
"2025-04-14",1522,22
"2025-04-15",1559,26
"2025-04-16",1572,25
"2025-04-17",1575,34
"2025-04-18",1581,31
"2025-04-19",1576,31
"2025-04-20",1589,32
"2025-04-21",1580,34
"2025-04-22",1585,34
"2025-04-23",1580,38
"2025-04-24",1589,35
"2025-04-25",1586,37
"2025-04-26",1585,39
"2025-04-27",1586,37
"2025-04-28",1573,42
"2025-04-29",1576,37
"2025-04-30",1570,38
"2025-05-01",1569,37
"2025-05-02",1571,35
"2025-05-03",1564,39
"2025-05-04",1564,41
"2025-05-05",1545,38
"2025-05-06",1548,39
"2025-05-07",1552,39
"2025-05-08",1555,38
"2025-05-09",1553,34
"2025-05-10",1545,35
"2025-05-11",1545,32
"2025-05-12",1548,32
"2025-05-13",1542,31
"2025-05-14",1535,33
"2025-05-15",1531,34
"2025-05-16",1529,35
"2025-05-17",1530,34
"2025-05-18",1530,31
"2025-05-19",1526,34
"2025-05-20",1524,34
"2025-05-21",1526,36
"2025-05-22",1527,38
"2025-05-23",1522,35
"2025-05-24",1522,35
"2025-05-25",1516,35
